"","NCTNum","Site","Status","Drug_Bio","Phases","Enrollment","Results","DrugBio","PH","Success"
"414","NCT00020930","Colorectal","Completed","Biological: cetuximab","20",NA,"No Results Available","Bio",4,1
"415","NCT00098618","Kidney","Terminated","Drug: sorafenib tosylate|Biological: recombinant interferon alfa|Other: laboratory biomarker analysis","20",40,"No Results Available","Both",4,0
"416","NCT00814892","Prostate","Terminated","Biological: allogeneic tumor cell vaccine|Biological: therapeutic autologous dendritic cells","20",2,"Has Results","Bio",4,0
"417","NCT00020540","Kidney","Completed","Biological: recombinant CD40-ligand|Biological: recombinant flt3 ligand","10",NA,"No Results Available","Bio",2,1
"418","NCT00027807","Breast","Completed","Biological: Aldesleukin|Biological: Sargramostim|Biological: therapeutic autologous lymphocytes","10",6,"No Results Available","Bio",2,1
"419","NCT00068341","Breast","Completed","Biological: trastuzumab|Drug: carboplatin|Drug: docetaxel","20",74,"Has Results","Drug",4,1
"420","NCT00079040","Lung","Completed","Drug: cisplatin|Drug: etoposide|Biological: bevacizumab|Other: laboratory biomarker analysis","20",65,"Has Results","Both",4,1
"421","NCT01729884","Breast","Terminated","Biological: HER-2/neu peptide vaccine","20",3,"No Results Available","Bio",4,0
"422","NCT00068575","Pancreas","Completed","Biological: Recombinant Interferon Alfa|Drug: Cisplatin|Drug: Fluorouracil|Radiation: Radiation Therapy","20",29,"Has Results","Drug",4,1
"423","NCT00006046","Colorectal","Completed","Biological: monoclonal antibody Hu3S193","10",NA,"No Results Available","Bio",2,1
"424","NCT01147965","Lung","Completed","Biological: AD5 CEA Vaccine","15",35,"No Results Available","Bio",3,1
"425","NCT00047255","Breast","Completed","Biological: trastuzumab|Drug: carboplatin|Drug: docetaxel|Biological: trastuxumab|Drug: Docetaxel","30",263,"No Results Available","Both",6,1
"426","NCT00096629","Kidney","Completed","Biological: human prostate-specific membrane antigen plasmid DNA vaccine|Biological: mouse prostate-specific membrane antigen plasmid DNA vaccine","10",15,"No Results Available","Bio",2,1
"427","NCT01585428","Cervix","Completed","Drug: Fludarabine|Drug: Cyclophosphamide|Biological: Young TIL|Drug: Aldesleukin","20",29,"Has Results","Both",4,1
"428","NCT02234921","Prostate","Completed","Drug: Cyclophosphamide|Biological: DRibble Vaccine|Biological: HPV Vaccinations|Drug: Imiquimod","10",3,"No Results Available","Both",2,1
"429","NCT00019136","Ovary","Completed","Biological: MOv-gamma chimeric receptor gene|Biological: aldesleukin|Biological: therapeutic allogeneic lymphocytes","10",NA,"No Results Available","Bio",2,1
"430","NCT01094496","Bladder","Terminated","Biological: CDX-1307 Vaccine Regimen|Drug: Chemotherapy","20",30,"No Results Available","Drug",4,0
"431","NCT00558051","Colorectal","Completed","Biological: DC-based vaccine","10",15,"No Results Available","Bio",2,1
"432","NCT00769470","Breast","Completed","Biological: trastuzumab|Drug: carboplatin|Drug: docetaxel|Drug: lapatinib ditosylate","20",18,"No Results Available","Drug",4,1
"433","NCT00003809","Head_Neck","Completed","Biological: cetuximab|Drug: cisplatin","30",NA,"No Results Available","Drug",6,1
"434","NCT00118235","Lung","Completed","Drug: cisplatin|Drug: irinotecan hydrochloride|Biological: bevacizumab|Other: laboratory biomarker analysis","20",72,"No Results Available","Both",4,1
"435","NCT02280811","Cervix","Completed","Drug: Fludarabine|Drug: Cyclophosphamide|Biological: E6 TCR|Drug: Aldesleukin","15",12,"Has Results","Both",3,1
"436","NCT01487863","Prostate","Completed","Biological: sipuleucel-T|Drug: abiraterone acetate","20",69,"Has Results","Drug",4,1
"437","NCT00032188","Kidney","Completed","Biological: aldesleukin|Drug: bryostatin 1|Other: laboratory biomarker analysis","20",65,"No Results Available","Drug",4,1
"438","NCT00030615","Breast","Completed","Drug: decitabine|Other: pharmacological study|Other: laboratory biomarker analysis","10",24,"No Results Available","Drug",2,1
"439","NCT01116245","Cervix","Terminated","Biological: ADXS11-001 (Lm-LLO-E7)|Drug: Placebo Control","20",81,"No Results Available","Drug",4,0
"440","NCT03402880","Lung","Withdrawn","Biological: Pembrolizumab|Drug: Epacadostat|Other: Laboratory Biomarker Analysis","20",0,"No Results Available","Drug",4,0
"441","NCT00014495","Leukemia","Completed","Biological: filgrastim|Drug: cytarabine|Radiation: bismuth Bi213 monoclonal antibody M195","15",32,"Has Results","Drug",3,1
"442","NCT00006263","Brain","Withdrawn","Biological: filgrastim|Drug: carboplatin|Drug: temozolomide","20",0,"No Results Available","Drug",4,0
"443","NCT01106898","Breast","Completed","Drug: cyclophosphamide|Drug: paclitaxel|Biological: trastuzumab|Other: laboratory biomarker analysis","20",112,"Has Results","Both",4,1
"444","NCT01816035","Breast","Completed","Other: Laboratory Biomarker Analysis|Other: Pharmacological Study|Biological: Trastuzumab Emtansine","10",13,"No Results Available","Bio",2,1
"445","NCT02153905","Breast","Terminated","Drug: Aldesleukin|Drug: Fludarabine|Drug: Cyclophosphamide|Biological: Anti-MAGE-A3 HLAA* 01-restricted TCR","15",3,"No Results Available","Both",3,0
"446","NCT00388726","Breast","Completed","Drug: E7389|Drug: Physician's Choice","30",762,"Has Results","Drug",6,1
"447","NCT00006380","Prostate","Completed","Biological: monoclonal antibody muJ591|Radiation: iodine I 131 monoclonal antibody muJ591","10",NA,"No Results Available","Bio",2,1
"448","NCT00326911","Pancreas","Terminated","Biological: cetuximab|Biological: bevacizumab|Drug: gemcitabine","20",61,"Has Results","Drug",4,0
"449","NCT00741039","Lung","Completed","Biological: inactivated influenza vaccine and the 23- valent pneumococcal vaccine|Biological: inactivated influenza vaccine and the PPV23 vaccine (Pneumovax)","20",126,"Has Results","Bio",4,1
"450","NCT00524017","Head_Neck","Completed","Biological: cetuximab|Procedure: standard follow-up care","20",35,"No Results Available","Bio",4,1
"451","NCT00097214","Lung","Completed","Drug: Carboplatin|Biological: Cetuximab","20",57,"No Results Available","Both",4,1
"452","NCT00003357","Breast","Completed","Biological: GM2-KLH vaccine|Biological: QS21","10",9,"No Results Available","Bio",2,1
"453","NCT00036933","Prostate","Completed","Biological: MUC-2-Globo H-KLH conjugate vaccine|Biological: QS21","10",9,"No Results Available","Bio",2,1
"454","NCT00096057","Breast","Completed","Biological: monoclonal antibody HuHMFG1","10",24,"No Results Available","Bio",2,1
"455","NCT00761241","Pancreas","Completed","Drug: Gemcitabine, Docetaxel, 5FU, Oxaliplatin|Biological: Alpha-interferon|Radiation: Abdominal/pelvic radiation therapy|Procedure: Pancreaticoduodenectomy","20",40,"No Results Available","Both",4,1
"456","NCT00016107","Prostate","Completed","Drug: estramustine phosphate sodium|Drug: docetaxel|Biological: bevacizumab|Other: laboratory biomarker analysis","20",72,"No Results Available","Both",4,1
"457","NCT00460174","Pancreas","Completed","Biological: bevacizumab|Drug: gemcitabine|Procedure: conventional surgery|Radiation: radiation therapy","20",31,"No Results Available","Drug",4,1
"458","NCT00423930","Head_Neck","Completed","Biological: bevacizumab|Drug: cisplatin|Procedure: conventional surgery|Radiation: intensity-modulated radiation therapy","20",44,"Has Results","Drug",4,1
"459","NCT00021424","Head_Neck","Completed","Biological: recombinant fowlpox-TRICOM vaccine","10",NA,"No Results Available","Bio",2,1
"460","NCT00404339","Head_Neck","Completed","Biological: mutant p53 peptide pulsed dendritic cell vaccine|Biological: tetanus toxoid helper peptide|Procedure: adjuvant therapy","10",17,"No Results Available","Bio",2,1
"461","NCT01671488","Colorectal","Terminated","Biological: Treatment|Drug: 5FU|Drug: Mitomycin|Radiation: IMRT","15",11,"Has Results","Drug",3,0
"462","NCT01519817","Colorectal","Completed","Biological: GI-6301 (Yeast Brachyury Vaccine)","10",34,"Has Results","Bio",2,1
"463","NCT00103207","Lung","Completed","Biological: cetuximab","20",72,"Has Results","Bio",4,1
"464","NCT00002980","Leukemia","Completed","Drug: decitabine","10",NA,"No Results Available","Drug",2,1
"465","NCT00906243","Prostate","Terminated","Biological: CV9103","15",6,"Has Results","Bio",3,0
"466","NCT00006104","Breast","Completed","Biological: trastuzumab|Drug: docetaxel","20",46,"No Results Available","Drug",4,1
"467","NCT02018419","Breast","Withdrawn","Biological: AlloStim|Procedure: Cryoablation","15",0,"No Results Available","Bio",3,0
"468","NCT00534209","Lung","Terminated","Biological: Allogeneic B7.1/HLA-A1|Other: Placebo","15",1,"Has Results","Bio",3,0
"469","NCT00005632","Prostate","Completed","Biological: MUC1-KLH vaccine/QS21","10",27,"No Results Available","Bio",2,1
"470","NCT00217529","Ovary","Completed","Biological: pegfilgrastim|Drug: carboplatin|Drug: docetaxel|Drug: erlotinib hydrochloride","15",NA,"No Results Available","Drug",3,1
"471","NCT02035358","Kidney","Unknown status","Biological: HyperAcute®-Renal (HAR) Immunotherapy","10",18,"No Results Available","Bio",2,0
"472","NCT00019929","Lung","Completed","Biological: mutant p53 peptide pulsed dendritic cell vaccine|Procedure: adjuvant therapy","20",NA,"No Results Available","Bio",4,1
"473","NCT00023985","Lung","Completed","Biological: autologous tumor cell vaccine|Biological: therapeutic autologous dendritic cells|Procedure: conventional surgery","10",NA,"No Results Available","Bio",2,1
"474","NCT00005946","Leukemia","Completed","Biological: filgrastim|Biological: therapeutic allogeneic lymphocytes|Drug: cyclophosphamide|Drug: etoposide","10",NA,"No Results Available","Drug",2,1
"475","NCT00003391","Prostate","Completed","Biological: monoclonal antibody muJ591","10",30,"No Results Available","Bio",2,1
"476","NCT03066947","Breast","Completed","Biological: SV-BR-1-GM|Drug: Cyclophosphamide|Biological: Interferon-alpha-2b","15",24,"No Results Available","Both",3,1
"477","NCT00423917","Breast","Completed","Biological: bevacizumab|Drug: fulvestrant","20",36,"Has Results","Drug",4,1
"478","NCT00077298","Colorectal","Completed","Biological: cetuximab|Biological: bevacizumab|Drug: irinotecan hydrochloride|Other: laboratory biomarker analysis","20",70,"No Results Available","Drug",4,1
"479","NCT02118285","Ovary","Completed","Drug: Fludarabine|Drug: Cyclophosphamide|Biological: NK cells|Biological: IL-2|Drug: INCB024360","10",2,"No Results Available","Both",2,1
"480","NCT01967758","Brain","Completed","Biological: Cohort 1|Biological: Cohort 2|Biological: Cohort 3|Drug: Antibiotics","10",11,"No Results Available","Drug",2,1
"481","NCT00304096","Breast","Completed","Biological: synthetic breast cancer peptides-tetanus toxoid-Montanide ISA-51 vaccine","10",12,"Has Results","Bio",2,1
"482","NCT00004865","Head_Neck","Completed","Biological: cetuximab|Drug: cisplatin|Drug: fluorouracil|Drug: paclitaxel","20",NA,"No Results Available","Drug",4,1
"483","NCT01272791","Pancreas","Completed","Biological: bavituximab|Drug: Gemcitabine","20",70,"No Results Available","Drug",4,1
"484","NCT00003797","Pancreas","Unknown status","Biological: trastuzumab|Drug: gemcitabine hydrochloride","20",41,"No Results Available","Drug",4,0
"485","NCT02441946","Breast","Completed","Drug: Abemaciclib|Drug: Loperamide|Drug: Anastrozole","20",224,"Has Results","Drug",4,1
"486","NCT00025337","Colorectal","Completed","Biological: bevacizumab|Drug: oxaliplatin|Drug: leucovorin calcium|Drug: fluorouracil","30",880,"No Results Available","Drug",6,1
"487","NCT00500058","Lymphoma","Completed","Drug: SB-485232|Drug: Rituximab","10",24,"No Results Available","Drug",2,1
"488","NCT00030641","Lung","Unknown status","Biological: oblimersen sodium|Drug: docetaxel","25",NA,"No Results Available","Drug",5,0
"489","NCT00300950","Pancreas","Completed","Biological: GI-4000|Drug: Gemcitabine","20",176,"No Results Available","Drug",4,1
"490","NCT00055913","Head_Neck","Completed","Biological: bevacizumab|Drug: erlotinib hydrochloride|Other: laboratory biomarker analysis","15",58,"No Results Available","Drug",3,1
"491","NCT00199849","Lung","Completed","Biological: NY-ESO-1 plasmid DNA Cancer Vaccine","10",15,"No Results Available","Bio",2,1
"492","NCT00016133","Colorectal","Completed","Biological: BCG vaccine|Biological: autologous tumor cell vaccine|Drug: fluorouracil|Drug: leucovorin calcium|Procedure: adjuvant therapy","15",NA,"No Results Available","Drug",3,1
"493","NCT00002754","Melanoma","Completed","Biological: monoclonal antibody Me1-14 F(ab')2","10",6,"No Results Available","Bio",2,1
"494","NCT00913835","Ovary","Completed","Biological: Olaratumab|Drug: liposomal doxorubicin","20",125,"Has Results","Drug",4,1
"495","NCT00723255","Uterus","Completed","Biological: bevacizumab|Drug: temsirolimus","20",53,"Has Results","Drug",4,1
"496","NCT00004029","Prostate","Completed","Biological: recombinant viral vaccine therapy|Biological: sargramostim","10",46,"No Results Available","Bio",2,1
"497","NCT00003269","Lung","Completed","Biological: sargramostim|Drug: amifostine trihydrate|Drug: cisplatin|Drug: cyclophosphamide|Drug: etoposide","20",20,"No Results Available","Drug",4,1
"498","NCT00101192","Cervix","Completed","Biological: cetuximab|Drug: cisplatin","20",76,"Has Results","Drug",4,1
"499","NCT00003090","Lung","Unknown status","Biological: aldesleukin","20",30,"No Results Available","Bio",4,0
"500","NCT00005032","Lung","Completed","Biological: oblimersen sodium|Drug: paclitaxel","15",12,"No Results Available","Drug",3,1
"501","NCT00066729","Ovary","Completed","Biological: NY-ESO-1 peptide vaccine|Biological: incomplete Freund's adjuvant","10",NA,"No Results Available","Bio",2,1
"502","NCT00075686","Pancreas","Completed","Biological: cetuximab|Drug: gemcitabine hydrochloride","30",766,"No Results Available","Drug",6,1
"503","NCT01362790","Lung","Unknown status","Drug: Pentostatin|Drug: Cyclophosphamide|Biological: SS1(dsFv)PE38 - lot 073I0809|Biological: SS1(dsFv)PE38 - lot FIL129J01","15",55,"No Results Available","Both",3,0
"504","NCT00301730","Breast","Completed","Biological: aldesleukin|Biological: therapeutic tumor infiltrating lymphocytes|Biological: trastuzumab|Drug: paclitaxel|Procedure: conventional surgery","10",1,"No Results Available","Drug",2,1
"505","NCT00373217","Ovary","Terminated","Biological: MAGE-A1, Her-2/neu, FBP peptides ovarian cancer vaccine|Biological: tetanus toxoid helper peptide|Drug: carboplatin|Drug: paclitaxel|Procedure: conventional surgery","20",6,"No Results Available","Drug",4,0
"506","NCT00488592","Leukemia","Completed","Biological: WT1:126-134|Biological: PR1:169-177 Peptide|Drug: GM-CSF (Sargramostim)|Biological: Montanide adjuvant","20",10,"Has Results","Both",4,1
"507","NCT00579423","Prostate","Completed","Biological: QS21","20",30,"No Results Available","Bio",4,1
"508","NCT00670748","Kidney","Terminated","Biological: Anti-NY ESO-1 T-cell receptor PBL|Drug: aldesleukin|Drug: Cyclophosphamide|Drug: fludarabine phosphate|Biological: ALVAC NY ESO-1 vaccine","20",45,"Has Results","Both",4,0
"509","NCT00004061","Leukemia","Completed","Biological: filgrastim|Biological: palifermin|Drug: cyclophosphamide|Drug: etoposide|Drug: ifosfamide|Procedure: peripheral blood stem cell transplantation|Procedure: quality-of-life assessment|Radiation: radiation therapy","20",111,"No Results Available","Drug",4,1
"510","NCT00105053","Prostate","Completed","Biological: HyperAcute-Prostate Cancer Vaccine","15",8,"No Results Available","Bio",3,1
"511","NCT00004880","Kidney","Completed","Biological: dendritic cell vaccine therapy|Procedure: conventional surgery","10",14,"No Results Available","Bio",2,1
"512","NCT00268489","Lung","Completed","Biological: bevacizumab|Drug: pemetrexed disodium","20",48,"No Results Available","Drug",4,1
"513","NCT00133224","Prostate","Terminated","Biological: Immunotherapy allogeneic GM-CSF secreting cellular vaccine|Drug: Chemotherapy (docetaxel and prednisone)","30",408,"No Results Available","Drug",6,0
"514","NCT00089856","Prostate","Terminated","Biological: Immunotherapy with allogeneic prostate vaccine|Drug: Chemotherapy (Taxotere and prednisone)","30",626,"No Results Available","Drug",6,0
"515","NCT02433483","Leukemia","Terminated","Drug: Cytarabine|Drug: Intrathecal Triples|Biological: HPC-A","20",4,"Has Results","Both",4,0
"516","NCT01705340","Breast","Terminated","Drug: Akt inhibitor MK2206|Biological: trastuzumab|Drug: lapatinib ditosylate|Other: laboratory biomarker analysis","10",60,"No Results Available","Both",2,0
"517","NCT00462826","Uterus","Completed","Biological: ziv-aflibercept","20",49,"Has Results","Bio",4,1
"518","NCT03070002","Breast","Terminated","Biological: Denosumab|Other: Laboratory Biomarker Analysis","20",1,"Has Results","Bio",4,0
"519","NCT00358566","Pancreas","Terminated","Biological: GV1001|Drug: Gemcitabine (Chemotherapy)","30",360,"No Results Available","Drug",6,0
"520","NCT01502592","Breast","Completed","Procedure: Cryoablation|Biological: Ipilimumab","10",19,"No Results Available","Bio",2,1
"521","NCT00126594","Kidney","Completed","Drug: Sorafenib Tosylate|Biological: Recombinant Interferon Alfa-2b|Other: Laboratory Biomarker Analysis","20",80,"Has Results","Both",4,1
"522","NCT00002796","Colorectal","Terminated","Drug: fluorouracil|Drug: sodium phenylbutyrate|Drug: indomethacin|Biological: recombinant interferon gamma","15",46,"No Results Available","Both",3,0
"523","NCT00004883","Lung","Completed","Biological: trastuzumab|Other: laboratory biomarker analysis","20",84,"No Results Available","Bio",4,1
"524","NCT01416038","Ovary","Completed","Biological: DPX-Survivac|Drug: low dose cyclophosphamide (oral)","10",19,"No Results Available","Drug",2,1
"525","NCT01384253","Breast","Completed","Other: ²¹²Pb-TCMC-Trastuzumab|Biological: trastuzumab","10",18,"No Results Available","Bio",2,1
"526","NCT02118311","Leukemia","Withdrawn","Biological: T Regulatory cells|Drug: Fludarabine|Drug: Cyclophosphamide|Radiation: Total Body Irradiation","20",0,"No Results Available","Drug",4,0
"527","NCT00004135","Kidney","Completed","Biological: filgrastim|Biological: therapeutic allogeneic lymphocytes|Drug: cyclophosphamide|Drug: fludarabine phosphate|Procedure: peripheral blood stem cell transplantation","20",19,"No Results Available","Drug",4,1
"528","NCT01026623","Prostate","Completed","Biological: Cixutumumab|Other: Diagnostic Laboratory Biomarker Analysis|Drug: Temsirolimus","15",16,"No Results Available","Drug",3,1
"529","NCT01111604","Colorectal","Completed","Biological: IMC-1121B|Biological: IMC-18F1|Drug: mFOLFOX-6","20",157,"No Results Available","Drug",4,1
"530","NCT01198535","Colorectal","Terminated","Biological: Cetuximab|Drug: Gamma-Secretase Inhibitor RO4929097|Other: Laboratory Biomarker Analysis|Other: Pharmacological Study","10",60,"No Results Available","Drug",2,0
"531","NCT00079157","Breast","Unknown status","Biological: incomplete Freund's adjuvant|Biological: sargramostim|Biological: telomerase: 540-548 peptide vaccine","10",28,"No Results Available","Bio",2,0
"532","NCT00923351","Brain","Completed","Drug: Tumor Purged/CD25 Depleted Lymphocytes|Biological: Tumor Purged/CD25 Depleted Lymphocytes with Tumor Lysate/KLH Pulsed Dendritic Cell Vaccine|Drug: rhIL-7|Biological: Tumor Lysate/KLH Pulsed Dendritic Cell Vaccine","15",44,"Has Results","Both",3,1
"533","NCT02235324","Colorectal","Withdrawn","Biological: ziv-aflibercept|Drug: leucovorin calcium|Drug: fluorouracil|Other: laboratory biomarker analysis","20",0,"No Results Available","Drug",4,0
"534","NCT00003184","Breast","Completed","Biological: BCG vaccine|Biological: CD80 breast cancer vaccine|Biological: sargramostim","10",NA,"No Results Available","Bio",2,1
"535","NCT00320385","Breast","Completed","Drug: Lapatinib|Biological: Trastuzumab","30",296,"Has Results","Both",6,1
"536","NCT00045227","Prostate","Completed","Biological: recombinant fowlpox-prostate specific antigen vaccine|Biological: recombinant vaccinia prostate-specific antigen vaccine|Biological: recombinant vaccinia-B7.1 vaccine|Biological: sargramostim|Drug: docetaxel","20",NA,"No Results Available","Drug",4,1
"537","NCT01671592","Colorectal","Completed","Biological: DC Vaccine","10",6,"No Results Available","Bio",2,1
"538","NCT00329368","Cancer","Completed","Biological: EC90 (KLH-FITC)|Biological: GPI-0100|Drug: EC17 (Folate-FITC)|Drug: Interleukin-2|Drug: Interferon-alpha","10",13,"No Results Available","Drug",2,1
"539","NCT00039455","Breast","Terminated","Biological: trastuzumab|Drug: alvocidib|Other: laboratory biomarker analysis|Other: pharmacological study","10",50,"No Results Available","Drug",2,0
"540","NCT00470366","Ovary","Completed","Biological: pegfilgrastim|Drug: cisplatin|Drug: ifosfamide|Drug: paclitaxel","20",60,"Has Results","Drug",4,1
"541","NCT00828139","Lung","Completed","Biological: ziv-aflibercept|Drug: topotecan hydrochloride","20",189,"Has Results","Drug",4,1
"542","NCT00098917","Lung","Terminated","Drug: autologous tumor cell vaccine|Drug: therapeutic autologous dendritic cells|Procedure: adjuvant therapy|Procedure: biological therapy|Procedure: conventional surgery|Procedure: surgery|Procedure: tumor cell derivative vaccine|Procedure: vaccine therapy","10",15,"No Results Available","Drug",2,0
"543","NCT02062359","Melanoma","Terminated","Biological: Anti-NY ESO-1 T cell receptor (TCR) cluster of differentiation 62L (CD62L)+ cells|Drug: Aldesleukin|Drug: Cyclophosphamide|Drug: Fludarabine","20",2,"Has Results","Drug",4,0
"544","NCT00121173","Cervix","Completed","Biological: pNGVL4a-Sig/E7(detox)/HSP70 DNA vaccine","15",16,"Has Results","Bio",3,1
"545","NCT02966587","Prostate","Withdrawn","Biological: Durvalumab|Other: Laboratory Biomarker Analysis","20",0,"No Results Available","Bio",4,0
"546","NCT01431391","Prostate","Completed","Biological: sipuleucel-T|Drug: leuprolide acetate","20",68,"Has Results","Drug",4,1
"547","NCT01101880","Leukemia","Completed","Biological: filgrastim|Drug: clofarabine|Drug: cytarabine","20",50,"Has Results","Drug",4,1
"548","NCT01246960","Esophagus","Completed","Biological: Ramucirumab|Drug: Placebo|Drug: Oxaliplatin|Drug: Leucovorin|Drug: 5-Fluorouracil","20",168,"Has Results","Drug",4,1
"549","NCT00002837","Breast","Completed","Biological: Filgrastim (G-CSF)|Drug: Cyclophosphamide|Drug: Doxorubicin Hydrochloride|Drug: Paclitaxel|Procedure: Peripheral Blood Stem Cell Transplantation","15",21,"No Results Available","Drug",3,1
"550","NCT00006981","Lung","Completed","Biological: SS1(dsFv)-PE38 immunotoxin","10",NA,"No Results Available","Bio",2,1
"551","NCT00003020","Brain","Completed","Biological: LMB-7 immunotoxin","10",24,"No Results Available","Bio",2,1
"552","NCT00005966","Kidney","Completed","Biological: recombinant interferon alfa|Drug: thalidomide","30",NA,"No Results Available","Drug",6,1
"553","NCT01288261","Breast","Completed","Drug: paclitaxel|Biological: bavituximab|Other: laboratory biomarker analysis|Other: pharmacological study","10",14,"No Results Available","Both",2,1
"554","NCT00004036","Leukemia","Unknown status","Biological: sargramostim|Drug: amifostine trihydrate|Drug: carboplatin|Drug: cyclophosphamide","10",30,"No Results Available","Drug",2,0
"555","NCT01632332","Breast","Completed","Biological: HER-2/neu peptide vaccine|Other: laboratory biomarker analysis","10",22,"No Results Available","Bio",2,1
"556","NCT00436501","Ovary","Completed","Drug: docetaxel|Biological: ziv-aflibercept|Other: laboratory biomarker analysis|Other: pharmacological study","15",58,"Has Results","Both",3,1
"557","NCT00017173","Head_Neck","Terminated","Biological: Ad5CMV-p53 gene|Drug: cisplatin|Procedure: conventional surgery|Radiation: radiation therapy","20",13,"No Results Available","Drug",4,0
"558","NCT00477880","Stomach","Completed","Biological: Cetuximab","10",9,"No Results Available","Bio",2,1
"559","NCT00301106","Breast","Terminated","Biological: adenovirus-mediated human interleukin-12","10",2,"No Results Available","Bio",2,0
"560","NCT00003136","Ovary","Completed","Biological: filgrastim|Drug: amifostine trihydrate|Drug: carboplatin|Drug: cyclophosphamide|Procedure: peripheral blood stem cell transplantation","15",11,"No Results Available","Drug",3,1
"561","NCT00006041","Ovary","Completed","Biological: MUC1-KLH conjugate vaccine|Biological: MUC1-KLH vaccine/QS21|Biological: QS21","10",NA,"No Results Available","Bio",2,1
"562","NCT00709462","Breast","Completed","Biological: CDX1307","10",48,"No Results Available","Bio",2,1
"563","NCT01083368","Prostate","Completed","Drug: temsirolimus|Biological: bevacizumab|Genetic: polymorphism analysis|Other: laboratory biomarker analysis","15",22,"No Results Available","Both",3,1
"564","NCT02278133","Colorectal","Completed","Drug: WNT974|Drug: LGX818|Biological: Cetuximab","15",20,"No Results Available","Both",3,1
"565","NCT00748657","Ovary","Completed","Biological: Bevacizumab|Other: Laboratory Biomarker Analysis","20",36,"Has Results","Bio",4,1
"566","NCT00061035","Prostate","Completed","Biological: Transgenic Lymphocyte Immunization Vaccine (TLI)","10",18,"No Results Available","Bio",2,1
"567","NCT00003082","Leukemia","Completed","Biological: monoclonal antibody A27.15|Biological: monoclonal antibody E2.3","10",27,"No Results Available","Bio",2,1
"568","NCT00445848","Lung","Completed","Biological: bevacizumab|Drug: erlotinib hydrochloride","20",89,"Has Results","Drug",4,1
"569","NCT00003440","Breast","Completed","Drug: paclitaxel|Biological: trastuzumab|Procedure: quality-of-life assessment|Other: laboratory biomarker analysis","30",580,"No Results Available","Both",6,1
"570","NCT00514072","Prostate","Unknown status","Biological: BCG vaccine|Biological: prostate cancer vaccine ONY-P1|Other: placebo","20",54,"No Results Available","Bio",4,0
"571","NCT00002913","Ovary","Completed","Drug: paclitaxel|Drug: cisplatin|Drug: topotecan hydrochloride|Biological: filgrastim","10",30,"No Results Available","Both",2,1
"572","NCT01981122","Prostate","Completed","Biological: sipuleucel-T|Drug: enzalutamide","20",52,"Has Results","Drug",4,1
"573","NCT01369888","Melanoma","Terminated","Drug: Cyclophosphamide|Drug: Fludarabine|Biological: Tumor Infiltrating Lymphocytes|Drug: IL-15","15",3,"Has Results","Both",3,0
"574","NCT00648102","Breast","Completed","Biological: CDX-1307","10",36,"No Results Available","Bio",2,1
"575","NCT02405585","Pancreas","Terminated","Drug: mFOLFIRINOX|Biological: Algenpantucel-L Immunotherapy|Radiation: SBRT|Drug: Gemcitabine","20",10,"No Results Available","Both",4,0
"576","NCT00826540","Colorectal","Completed","Drug: sorafenib tosylate|Biological: bevacizumab","20",83,"Has Results","Both",4,1
"577","NCT00093522","Kidney","Unknown status","Biological: autologous tumor cell vaccine|Biological: keyhole limpet hemocyanin|Biological: therapeutic autologous dendritic cells|Drug: fludarabine phosphate|Procedure: conventional surgery","20",28,"No Results Available","Drug",4,0
"578","NCT01013285","Brain","Unknown status","Biological: bevacizumab|Drug: temozolomide|Radiation: external beam radiation therapy","20",70,"No Results Available","Drug",4,0
"579","NCT00060398","Prostate","Completed","Biological: epoetin alfa|Drug: dexamethasone","30",282,"No Results Available","Drug",6,1
"580","NCT00003382","Ovary","Terminated","Biological: filgrastim|Drug: gemcitabine hydrochloride|Drug: topotecan hydrochloride","10",NA,"No Results Available","Drug",2,0
"581","NCT00138151","Cervix","Terminated","Biological: recombinant interferon alpha-2b|Drug: isotretinoin|Drug: paclitaxel","20",33,"Has Results","Drug",4,0
"582","NCT00684996","Kidney","Terminated","Drug: etaracizumab|Biological: bevacizumab","15",5,"Has Results","Both",3,0
"583","NCT00902291","Pancreas","Completed","Biological: AGS-1C4D4|Biological: Gemcitabine","20",205,"No Results Available","Bio",4,1
"584","NCT00405327","Brain","Completed","Biological: Tumor lysate-pulsed dendritic cell (DC) vaccine|Other: Hematopoietic stem cell transplantation (HSCT)","20",16,"No Results Available","Bio",4,1
"585","NCT00281879","Leukemia","Terminated","Biological: anti-thymocyte globulin|Biological: filgrastim|Drug: busulfan|Drug: carmustine|Drug: cyclophosphamide|Drug: cyclosporine|Drug: cytarabine|Drug: etoposide|Drug: fludarabine phosphate|Drug: melphalan|Drug: methotrexate|Drug: methylprednisolone|Drug: mycophenolate mofetil|Drug: tacrolimus|Procedure: peripheral blood stem cell transplantation|Procedure: umbilical cord blood transplantation|Radiation: radiation therapy","20",200,"Has Results","Drug",4,0
"586","NCT00020410","Breast","Completed","Biological: filgrastim|Procedure: peripheral blood stem cell transplantation|Radiation: yttrium Y 90 monoclonal antibody B3","10",NA,"No Results Available","Bio",2,1
"587","NCT00086957","Breast","Completed","Biological: trastuzumab|Drug: docetaxel|Drug: gefitinib","15",31,"Has Results","Drug",3,1
"588","NCT00004042","Colorectal","Completed","Biological: monoclonal antibody F19|Radiation: iodine I 131 monoclonal antibody F19","10",24,"No Results Available","Bio",2,1
