"","Site","Year","Sex","Age","Trends","Incr","totalcost","fst.yr","ongoing.yr","last.yr"
"242","Brain","2012","Both sexes","All ages","Incidence follows recent trend, Survival constant","0%",4630.8,1264.7,1119.1,2246.9
"243","Brain","2012","Both sexes","All ages","Survival follows recent trend, Incidence constant","0%",4742.9,1299.6,1137.3,2306
"244","Brain","2012","Both sexes","All ages","Incidence, Survival follow recent trends","0%",4689.6,1264.7,1133.9,2291
"245","Brain","2012","Both sexes","All ages","Incidence, Survival follow recent trends","2%",4829.2,1315.8,1133.9,2379.5
"246","Brain","2012","Both sexes","All ages","Incidence, Survival follow recent trends","5%",5043.8,1394.3,1133.9,2515.6
"247","Breast","2012","Females","All ages","Incidence, Survival at constant rate","0%",17316.1,6213.9,7176.2,3926
"248","Breast","2012","Females","All ages","Incidence follows recent trend, Survival constant","0%",16566.9,5731.4,7015.5,3820
"249","Breast","2012","Females","All ages","Survival follows recent trend, Incidence constant","0%",17345.3,6213.9,7194.7,3936.7
"250","Breast","2012","Females","All ages","Incidence, Survival follow recent trends","0%",16594.5,5731.4,7033,3830.1
"251","Breast","2012","Females","All ages","Incidence, Survival follow recent trends","2%",16976.8,5963,7033,3980.9
"252","Breast","2012","Females","All ages","Incidence, Survival follow recent trends","5%",17564.5,6318.9,7033,4212.6
"253","Cervix","2012","Females","All ages","Incidence, Survival at constant rate","0%",1546,494.3,366,685.8
"254","Cervix","2012","Females","All ages","Incidence follows recent trend, Survival constant","0%",1359.4,365.6,350,643.8
"255","Cervix","2012","Females","All ages","Survival follows recent trend, Incidence constant","0%",1546.8,494.3,366.2,686.3
"256","Cervix","2012","Females","All ages","Incidence, Survival follow recent trends","0%",1360,365.6,350.1,644.3
"257","Cervix","2012","Females","All ages","Incidence, Survival follow recent trends","2%",1398.6,380.4,350.1,668.1
"258","Cervix","2012","Females","All ages","Incidence, Survival follow recent trends","5%",1457.9,403.1,350.1,704.7
"259","Colorectal","2012","Both sexes","All ages","Incidence, Survival at constant rate","0%",14695.2,6153.5,4068.4,4473.3
"260","Colorectal","2012","Both sexes","All ages","Incidence follows recent trend, Survival constant","0%",13496,5308,3938.9,4249.1
"261","Colorectal","2012","Both sexes","All ages","Survival follows recent trend, Incidence constant","0%",14785.9,6153.5,4109.6,4522.8
"262","Colorectal","2012","Both sexes","All ages","Incidence, Survival follow recent trends","0%",13577.9,5308,3976.1,4293.8
"263","Colorectal","2012","Both sexes","All ages","Incidence, Survival follow recent trends","2%",13925,5522.4,3976.1,4426.5
"264","Colorectal","2012","Both sexes","All ages","Incidence, Survival follow recent trends","5%",14458.7,5852.1,3976.1,4630.5
"265","Esophagus","2012","Both sexes","All ages","Incidence, Survival at constant rate","0%",1420.4,604.2,161,655.2
"266","Esophagus","2012","Both sexes","All ages","Incidence follows recent trend, Survival constant","0%",1398.9,590.9,159.7,648.2
"267","Esophagus","2012","Both sexes","All ages","Survival follows recent trend, Incidence constant","0%",1488.6,604.2,175.5,708.9
"268","Esophagus","2012","Both sexes","All ages","Incidence, Survival follow recent trends","0%",1466.3,590.9,174.1,701.2
"269","Esophagus","2012","Both sexes","All ages","Incidence, Survival follow recent trends","2%",1515.7,614.8,174.1,726.8
"270","Esophagus","2012","Both sexes","All ages","Incidence, Survival follow recent trends","5%",1591.6,651.5,174.1,766
"271","Head_Neck","2012","Both sexes","All ages","Incidence, Survival at constant rate","0%",3765.5,1121.3,1042.7,1601.5
"272","Head_Neck","2012","Both sexes","All ages","Incidence follows recent trend, Survival constant","0%",3578.3,1002.6,1022.4,1553.3
"273","Head_Neck","2012","Both sexes","All ages","Survival follows recent trend, Incidence constant","0%",3775.7,1121.3,1046.6,1607.8
"274","Head_Neck","2012","Both sexes","All ages","Incidence, Survival follow recent trends","0%",3587.9,1002.6,1026.1,1559.1
"275","Head_Neck","2012","Both sexes","All ages","Incidence, Survival follow recent trends","2%",3686.8,1043.1,1026.1,1617.5
"276","Head_Neck","2012","Both sexes","All ages","Incidence, Survival follow recent trends","5%",3838.8,1105.4,1026.1,1707.3
"277","Kidney","2012","Both sexes","All ages","Incidence, Survival at constant rate","0%",4050.5,1178.5,1707.1,1165
"278","Kidney","2012","Both sexes","All ages","Incidence follows recent trend, Survival constant","0%",4336.5,1363.7,1757.9,1215
"279","Kidney","2012","Both sexes","All ages","Survival follows recent trend, Incidence constant","0%",4086.3,1178.5,1728.2,1179.6
"280","Kidney","2012","Both sexes","All ages","Incidence, Survival follow recent trends","0%",4376,1363.7,1781.2,1231.2
"281","Kidney","2012","Both sexes","All ages","Incidence, Survival follow recent trends","2%",4468.6,1418.8,1781.2,1268.6
"282","Kidney","2012","Both sexes","All ages","Incidence, Survival follow recent trends","5%",4610.8,1503.4,1781.2,1326.2
"283","Leukemia","2012","Both sexes","All ages","Incidence, Survival at constant rate","0%",5727.2,821.7,2224.1,2681.4
"284","Leukemia","2012","Both sexes","All ages","Incidence follows recent trend, Survival constant","0%",5571.5,781.3,2177.1,2613.2
"285","Leukemia","2012","Both sexes","All ages","Survival follows recent trend, Incidence constant","0%",5790,821.7,2251.4,2717
"286","Leukemia","2012","Both sexes","All ages","Incidence, Survival follow recent trends","0%",5631.6,781.3,2203.2,2647.1
"287","Leukemia","2012","Both sexes","All ages","Incidence, Survival follow recent trends","2%",5759.6,812.8,2203.2,2743.5
"288","Leukemia","2012","Both sexes","All ages","Incidence, Survival follow recent trends","5%",5956.3,861.4,2203.2,2891.7
"289","Lung","2012","Both sexes","All ages","Incidence, Survival at constant rate","0%",12627.8,5470.9,1922.5,5234.5
"290","Lung","2012","Both sexes","All ages","Incidence follows recent trend, Survival constant","0%",11536.5,4805.4,1856.4,4874.7
"291","Lung","2012","Both sexes","All ages","Survival follows recent trend, Incidence constant","0%",12761.5,5470.9,1960.4,5330.2
"292","Lung","2012","Both sexes","All ages","Incidence, Survival follow recent trends","0%",11655.4,4805.4,1890.3,4959.7
"293","Lung","2012","Both sexes","All ages","Incidence, Survival follow recent trends","2%",12036.3,4999.5,1890.3,5146.4
"294","Lung","2012","Both sexes","All ages","Incidence, Survival follow recent trends","5%",12621.7,5298,1890.3,5433.4
"295","Lymphoma","2012","Both sexes","All ages","Incidence, Survival at constant rate","0%",12759.5,3267.6,5155.5,4336.4
"296","Lymphoma","2012","Both sexes","All ages","Incidence follows recent trend, Survival constant","0%",12670.7,3210.3,5141.4,4319
"297","Lymphoma","2012","Both sexes","All ages","Survival follows recent trend, Incidence constant","0%",12848.2,3267.6,5201.6,4379
"298","Lymphoma","2012","Both sexes","All ages","Incidence, Survival follow recent trends","0%",12758.6,3210.3,5187.2,4361.2
"299","Lymphoma","2012","Both sexes","All ages","Incidence, Survival follow recent trends","2%",13043,3340,5187.2,4515.8
"300","Lymphoma","2012","Both sexes","All ages","Incidence, Survival follow recent trends","5%",13480.1,3539.3,5187.2,4753.6
"301","Melanoma","2012","Both sexes","All ages","Incidence, Survival at constant rate","0%",2527.6,507.5,1671.9,348.2
"302","Melanoma","2012","Both sexes","All ages","Incidence follows recent trend, Survival constant","0%",2693.1,607.8,1716,369.3
"303","Melanoma","2012","Both sexes","All ages","Survival follows recent trend, Incidence constant","0%",2531.2,507.5,1674.7,349
"304","Melanoma","2012","Both sexes","All ages","Incidence, Survival follow recent trends","0%",2697.2,607.8,1719.2,370.2
"305","Melanoma","2012","Both sexes","All ages","Incidence, Survival follow recent trends","2%",2735.8,632.4,1719.2,384.2
"306","Melanoma","2012","Both sexes","All ages","Incidence, Survival follow recent trends","5%",2795.2,670.2,1719.2,405.9
"307","Ovary","2012","Females","All ages","Incidence, Survival at constant rate","0%",5314,1426.2,1719.6,2168.2
"308","Ovary","2012","Females","All ages","Incidence follows recent trend, Survival constant","0%",4699.3,1014.6,1654.8,2029.9
"309","Ovary","2012","Females","All ages","Survival follows recent trend, Incidence constant","0%",5363.7,1426.2,1738.9,2198.6
"310","Ovary","2012","Females","All ages","Incidence, Survival follow recent trends","0%",4739.3,1014.6,1670.4,2054.4
"311","Ovary","2012","Females","All ages","Incidence, Survival follow recent trends","2%",4859.9,1055.6,1670.4,2134
"312","Ovary","2012","Females","All ages","Incidence, Survival follow recent trends","5%",5045.3,1118.6,1670.4,2256.4
"313","Pancreas","2012","Both sexes","All ages","Incidence, Survival at constant rate","0%",2381.2,1494.2,110.8,776.2
"314","Pancreas","2012","Both sexes","All ages","Incidence follows recent trend, Survival constant","0%",2363.8,1482,110.5,771.3
"315","Pancreas","2012","Both sexes","All ages","Survival follows recent trend, Incidence constant","0%",2471.5,1494.2,130.1,847.2
"316","Pancreas","2012","Both sexes","All ages","Incidence, Survival follow recent trends","0%",2453.5,1482,129.6,841.9
"317","Pancreas","2012","Both sexes","All ages","Incidence, Survival follow recent trends","2%",2545.7,1541.9,129.6,874.2
"318","Pancreas","2012","Both sexes","All ages","Incidence, Survival follow recent trends","5%",2687.5,1633.9,129.6,923.9
"319","Prostate","2012","Males","All ages","Incidence, Survival at constant rate","0%",12605.1,4799.9,6629.2,1176
"320","Prostate","2012","Males","All ages","Incidence follows recent trend, Survival constant","0%",12309.8,4577.2,6566,1166.6
"321","Prostate","2012","Males","All ages","Survival follows recent trend, Incidence constant","0%",12619.3,4799.9,6641.5,1178
"322","Prostate","2012","Males","All ages","Incidence, Survival follow recent trends","0%",12323.7,4577.2,6578,1168.5
"323","Prostate","2012","Males","All ages","Incidence, Survival follow recent trends","2%",12519.1,4762.1,6578,1179
"324","Prostate","2012","Males","All ages","Incidence, Survival follow recent trends","5%",12819.5,5046.4,6578,1195.1
"325","Stomach","2012","Both sexes","All ages","Incidence, Survival at constant rate","0%",1897.5,866,240.3,791.1
"326","Stomach","2012","Both sexes","All ages","Incidence follows recent trend, Survival constant","0%",1718.4,748.2,232.1,738.2
"327","Stomach","2012","Both sexes","All ages","Survival follows recent trend, Incidence constant","0%",1932.6,866,247.9,818.6
"328","Stomach","2012","Both sexes","All ages","Incidence, Survival follow recent trends","0%",1750.1,748.2,239,762.9
"329","Stomach","2012","Both sexes","All ages","Incidence, Survival follow recent trends","2%",1807.6,778.4,239,790.2
"330","Stomach","2012","Both sexes","All ages","Incidence, Survival follow recent trends","5%",1895.9,824.8,239,832.1
"331","Uterus","2012","Both sexes","All ages","Incidence, Survival at constant rate","0%",2688.8,1104.1,805.6,779.1
"332","Uterus","2012","Both sexes","All ages","Incidence follows recent trend, Survival constant","0%",2588.8,1032,792.6,764.2
"333","Uterus","2012","Both sexes","All ages","Survival follows recent trend, Incidence constant","0%",2687.9,1104.1,804.8,779
"334","Uterus","2012","Both sexes","All ages","Incidence, Survival follow recent trends","0%",2587.9,1032,791.8,764.1
"335","Uterus","2012","Both sexes","All ages","Incidence, Survival follow recent trends","2%",2655.9,1073.7,791.8,790.4
"336","Uterus","2012","Both sexes","All ages","Incidence, Survival follow recent trends","5%",2760.4,1137.8,791.8,830.8
"337","Other","2012","Both sexes","All ages","Incidence, Survival at constant rate","0%",20854.6,4115.5,11428.3,5310.8
"338","Other","2012","Both sexes","All ages","Incidence follows recent trend, Survival constant","0%",22115.8,4474.6,11750.9,5890.4
"339","Other","2012","Both sexes","All ages","Survival follows recent trend, Incidence constant","0%",21667.5,4115.5,12110.1,5441.9
"340","Other","2012","Both sexes","All ages","Incidence, Survival follow recent trends","0%",22954.6,4474.6,12423.1,6056.9
"341","Other","2012","Both sexes","All ages","Incidence, Survival follow recent trends","2%",23306.8,4655.3,12423.1,6228.3
"342","Other","2012","Both sexes","All ages","Incidence, Survival follow recent trends","5%",23848.2,4933.2,12423.1,6491.9
"343","AllSites","2013","Both sexes","All ages","Incidence, Survival at constant rate","0%",134173.6,42703.9,50949.8,40519.8
"344","AllSites","2013","Both sexes","All ages","Incidence follows recent trend, Survival constant","0%",130123,39662.8,50552.4,39907.9
"345","AllSites","2013","Both sexes","All ages","Survival follows recent trend, Incidence constant","0%",136297.1,42703.9,52238.5,41354.6
"346","AllSites","2013","Both sexes","All ages","Incidence, Survival follow recent trends","0%",132158.3,39662.8,51801,40694.4
"347","AllSites","2013","Both sexes","All ages","Incidence, Survival follow recent trends","2%",136679.1,42090.5,51801,42787.6
"348","AllSites","2013","Both sexes","All ages","Incidence, Survival follow recent trends","5%",143800.5,45914.7,51801,46084.8
"349","Bladder","2013","Both sexes","All ages","Incidence, Survival at constant rate","0%",4198.5,1037.2,1996.4,1164.9
"350","Bladder","2013","Both sexes","All ages","Incidence follows recent trend, Survival constant","0%",4026,948.4,1946.1,1131.6
"351","Bladder","2013","Both sexes","All ages","Survival follows recent trend, Incidence constant","0%",4217.8,1037.2,2008.5,1172
"352","Bladder","2013","Both sexes","All ages","Incidence, Survival follow recent trends","0%",4044.2,948.4,1957.6,1138.3
"353","Bladder","2013","Both sexes","All ages","Incidence, Survival follow recent trends","2%",4154.4,1006.4,1957.6,1190.5
"354","Bladder","2013","Both sexes","All ages","Incidence, Survival follow recent trends","5%",4328.1,1097.9,1957.6,1272.7
"355","Brain","2013","Both sexes","All ages","Incidence, Survival at constant rate","0%",4788.6,1318.5,1151.8,2318.3
"356","Brain","2013","Both sexes","All ages","Incidence follows recent trend, Survival constant","0%",4725.2,1277.8,1147.4,2300
"357","Brain","2013","Both sexes","All ages","Survival follows recent trend, Incidence constant","0%",4865,1318.5,1171.6,2374.9
"358","Brain","2013","Both sexes","All ages","Incidence, Survival follow recent trends","0%",4800.1,1277.8,1166.8,2355.5
"359","Brain","2013","Both sexes","All ages","Incidence, Survival follow recent trends","2%",5016,1356,1166.8,2493.3
"360","Brain","2013","Both sexes","All ages","Incidence, Survival follow recent trends","5%",5356.2,1479.2,1166.8,2710.3
"361","Breast","2013","Females","All ages","Incidence, Survival at constant rate","0%",17715.9,6297.3,7391.7,4026.9
"362","Breast","2013","Females","All ages","Incidence follows recent trend, Survival constant","0%",16875.9,5774.2,7198.6,3903.1
"363","Breast","2013","Females","All ages","Survival follows recent trend, Incidence constant","0%",17756.8,6297.3,7417.9,4041.7
"364","Breast","2013","Females","All ages","Incidence, Survival follow recent trends","0%",16914.4,5774.2,7223.2,3917
"365","Breast","2013","Females","All ages","Incidence, Survival follow recent trends","2%",17501.3,6127.7,7223.2,4150.5
"366","Breast","2013","Females","All ages","Incidence, Survival follow recent trends","5%",18426,6684.4,7223.2,4518.4
"367","Cervix","2013","Females","All ages","Incidence, Survival at constant rate","0%",1545.2,495,365,685.2
"368","Cervix","2013","Females","All ages","Incidence follows recent trend, Survival constant","0%",1340.6,355.7,346.9,638.1
"369","Cervix","2013","Females","All ages","Survival follows recent trend, Incidence constant","0%",1546.1,495,365.2,686
"370","Cervix","2013","Females","All ages","Incidence, Survival follow recent trends","0%",1341.4,355.7,347,638.7
"371","Cervix","2013","Females","All ages","Incidence, Survival follow recent trends","2%",1398.9,377.5,347,674.4
"372","Cervix","2013","Females","All ages","Incidence, Survival follow recent trends","5%",1489.5,411.7,347,730.7
"373","Colorectal","2013","Both sexes","All ages","Incidence, Survival at constant rate","0%",14979.2,6270.3,4155.4,4553.5
"374","Colorectal","2013","Both sexes","All ages","Incidence follows recent trend, Survival constant","0%",13584.3,5321,3984.7,4278.7
"375","Colorectal","2013","Both sexes","All ages","Survival follows recent trend, Incidence constant","0%",15098.1,6270.3,4210.4,4617.3
"376","Colorectal","2013","Both sexes","All ages","Incidence, Survival follow recent trends","0%",13690.4,5321,4033.8,4335.6
"377","Colorectal","2013","Both sexes","All ages","Incidence, Survival follow recent trends","2%",14219,5646.7,4033.8,4538.5
"378","Colorectal","2013","Both sexes","All ages","Incidence, Survival follow recent trends","5%",15051.8,6159.7,4033.8,4858.2
"379","Esophagus","2013","Both sexes","All ages","Incidence, Survival at constant rate","0%",1462.6,617.2,168.2,677.2
"380","Esophagus","2013","Both sexes","All ages","Incidence follows recent trend, Survival constant","0%",1437.2,602.1,166.6,668.5
"381","Esophagus","2013","Both sexes","All ages","Survival follows recent trend, Incidence constant","0%",1549.2,617.2,187.1,744.9
"382","Esophagus","2013","Both sexes","All ages","Incidence, Survival follow recent trends","0%",1522.5,602.1,185.2,735.2
"383","Esophagus","2013","Both sexes","All ages","Incidence, Survival follow recent trends","2%",1599.8,639,185.2,775.7
"384","Esophagus","2013","Both sexes","All ages","Incidence, Survival follow recent trends","5%",1721.6,697.1,185.2,839.4
"385","Head_Neck","2013","Both sexes","All ages","Incidence, Survival at constant rate","0%",3830.8,1141.1,1061.2,1628.4
"386","Head_Neck","2013","Both sexes","All ages","Incidence follows recent trend, Survival constant","0%",3605.4,1004.6,1033.8,1567
"387","Head_Neck","2013","Both sexes","All ages","Survival follows recent trend, Incidence constant","0%",3844.5,1141.1,1066.6,1636.7
"388","Head_Neck","2013","Both sexes","All ages","Incidence, Survival follow recent trends","0%",3618.2,1004.6,1038.8,1574.7
"389","Head_Neck","2013","Both sexes","All ages","Incidence, Survival follow recent trends","2%",3769,1066.1,1038.8,1664.1
"390","Head_Neck","2013","Both sexes","All ages","Incidence, Survival follow recent trends","5%",4006.6,1163,1038.8,1804.8
"391","Kidney","2013","Both sexes","All ages","Incidence, Survival at constant rate","0%",4177.6,1204.5,1767.9,1205.2
"392","Kidney","2013","Both sexes","All ages","Incidence follows recent trend, Survival constant","0%",4525.8,1417.4,1838.4,1270
"393","Kidney","2013","Both sexes","All ages","Survival follows recent trend, Incidence constant","0%",4224.8,1204.5,1795.9,1224.4
"394","Kidney","2013","Both sexes","All ages","Incidence, Survival follow recent trends","0%",4578.6,1417.4,1869.7,1291.5
"395","Kidney","2013","Both sexes","All ages","Incidence, Survival follow recent trends","2%",4724.8,1504.2,1869.7,1351
"396","Kidney","2013","Both sexes","All ages","Incidence, Survival follow recent trends","5%",4955.2,1640.9,1869.7,1444.7
"397","Leukemia","2013","Both sexes","All ages","Incidence, Survival at constant rate","0%",5873.8,833.6,2287.1,2753.1
"398","Leukemia","2013","Both sexes","All ages","Incidence follows recent trend, Survival constant","0%",5704,790.8,2234.9,2678.3
"399","Leukemia","2013","Both sexes","All ages","Survival follows recent trend, Incidence constant","0%",5956.1,833.6,2323.3,2799.2
"400","Leukemia","2013","Both sexes","All ages","Incidence, Survival follow recent trends","0%",5782.5,790.8,2269.5,2722.3
"401","Leukemia","2013","Both sexes","All ages","Incidence, Survival follow recent trends","2%",5981,839.2,2269.5,2872.4
"402","Leukemia","2013","Both sexes","All ages","Incidence, Survival follow recent trends","5%",6293.7,915.4,2269.5,3108.8
"403","Lung","2013","Both sexes","All ages","Incidence, Survival at constant rate","0%",12876.5,5583.8,1959.3,5333.3
"404","Lung","2013","Both sexes","All ages","Incidence follows recent trend, Survival constant","0%",11616.5,4834.3,1874.4,4907.8
"405","Lung","2013","Both sexes","All ages","Survival follows recent trend, Incidence constant","0%",13044.3,5583.8,2007.6,5452.9
"406","Lung","2013","Both sexes","All ages","Incidence, Survival follow recent trends","0%",11763.8,4834.3,1917,5012.5
"407","Lung","2013","Both sexes","All ages","Incidence, Survival follow recent trends","2%",12345.5,5130.2,1917,5298.3
"408","Lung","2013","Both sexes","All ages","Incidence, Survival follow recent trends","5%",13261.8,5596.3,1917,5748.5
"409","Lymphoma","2013","Both sexes","All ages","Incidence, Survival at constant rate","0%",13066,3319.7,5286.8,4459.5
"410","Lymphoma","2013","Both sexes","All ages","Incidence follows recent trend, Survival constant","0%",12959.4,3255.2,5267.6,4436.7
"411","Lymphoma","2013","Both sexes","All ages","Survival follows recent trend, Incidence constant","0%",13183.8,3319.7,5347.9,4516.2
"412","Lymphoma","2013","Both sexes","All ages","Incidence, Survival follow recent trends","0%",13075.9,3255.2,5328,4492.7
"413","Lymphoma","2013","Both sexes","All ages","Incidence, Survival follow recent trends","2%",13516.2,3454.4,5328,4733.8
"414","Lymphoma","2013","Both sexes","All ages","Incidence, Survival follow recent trends","5%",14209.9,3768.2,5328,5113.6
"415","Melanoma","2013","Both sexes","All ages","Incidence, Survival at constant rate","0%",2607.7,515.8,1736,356
"416","Melanoma","2013","Both sexes","All ages","Incidence follows recent trend, Survival constant","0%",2813.1,631,1799.7,382.4
"417","Melanoma","2013","Both sexes","All ages","Survival follows recent trend, Incidence constant","0%",2612.6,515.8,1739.8,357
"418","Melanoma","2013","Both sexes","All ages","Incidence, Survival follow recent trends","0%",2818.6,631,1804,383.5
"419","Melanoma","2013","Both sexes","All ages","Incidence, Survival follow recent trends","2%",2879.3,669.6,1804,405.6
"420","Melanoma","2013","Both sexes","All ages","Incidence, Survival follow recent trends","5%",2974.9,730.5,1804,440.4
"421","Ovary","2013","Females","All ages","Incidence, Survival at constant rate","0%",5408.5,1442.6,1751,2214.9
"422","Ovary","2013","Females","All ages","Incidence follows recent trend, Survival constant","0%",4687.7,983.4,1662.6,2041.7
"423","Ovary","2013","Females","All ages","Survival follows recent trend, Incidence constant","0%",5474,1442.6,1776.8,2254.7
"424","Ovary","2013","Females","All ages","Incidence, Survival follow recent trends","0%",4739,983.4,1682.9,2072.7
"425","Ovary","2013","Females","All ages","Incidence, Survival follow recent trends","2%",4920.9,1043.6,1682.9,2194.3
"426","Ovary","2013","Females","All ages","Incidence, Survival follow recent trends","5%",5207.3,1138.5,1682.9,2385.9
"427","Pancreas","2013","Both sexes","All ages","Incidence, Survival at constant rate","0%",2436.9,1522.2,116.4,798.3
"428","Pancreas","2013","Both sexes","All ages","Incidence follows recent trend, Survival constant","0%",2418.3,1509.2,116,793.1
"429","Pancreas","2013","Both sexes","All ages","Survival follows recent trend, Incidence constant","0%",2549.6,1522.2,140.8,886.6
"430","Pancreas","2013","Both sexes","All ages","Incidence, Survival follow recent trends","0%",2530.2,1509.2,140.3,880.7
"431","Pancreas","2013","Both sexes","All ages","Incidence, Survival follow recent trends","2%",2673.8,1601.6,140.3,931.9
"432","Pancreas","2013","Both sexes","All ages","Incidence, Survival follow recent trends","5%",2900,1747.1,140.3,1012.7
"433","Prostate","2013","Males","All ages","Incidence, Survival at constant rate","0%",13005.2,4935,6860.8,1209.3
"434","Prostate","2013","Males","All ages","Incidence follows recent trend, Survival constant","0%",12643.6,4675.5,6771.9,1196.2
"435","Prostate","2013","Males","All ages","Survival follows recent trend, Incidence constant","0%",13025.2,4935,6878.1,1212.1
"436","Prostate","2013","Males","All ages","Incidence, Survival follow recent trends","0%",12663.1,4675.5,6788.7,1198.9
"437","Prostate","2013","Males","All ages","Incidence, Survival follow recent trends","2%",12965.4,4961.6,6788.7,1215.1
"438","Prostate","2013","Males","All ages","Incidence, Survival follow recent trends","5%",13441.6,5412.4,6788.7,1240.5
"439","Stomach","2013","Both sexes","All ages","Incidence, Survival at constant rate","0%",1936.7,883.3,245.7,807.7
"440","Stomach","2013","Both sexes","All ages","Incidence follows recent trend, Survival constant","0%",1727.9,749.1,235,743.8
"441","Stomach","2013","Both sexes","All ages","Survival follows recent trend, Incidence constant","0%",1980.9,883.3,255.6,842.1
"442","Stomach","2013","Both sexes","All ages","Incidence, Survival follow recent trends","0%",1767.1,749.1,243.8,774.3
"443","Stomach","2013","Both sexes","All ages","Incidence, Survival follow recent trends","2%",1854.9,794.9,243.8,816.2
"444","Stomach","2013","Both sexes","All ages","Incidence, Survival follow recent trends","5%",1993.1,867.1,243.8,882.2
"445","Uterus","2013","Both sexes","All ages","Incidence, Survival at constant rate","0%",2725.3,1125.6,814.1,785.5
"446","Uterus","2013","Both sexes","All ages","Incidence follows recent trend, Survival constant","0%",2613.3,1047,798.3,768
"447","Uterus","2013","Both sexes","All ages","Survival follows recent trend, Incidence constant","0%",2724,1125.6,813,785.4
"448","Uterus","2013","Both sexes","All ages","Incidence, Survival follow recent trends","0%",2612,1047,797.2,767.9
"449","Uterus","2013","Both sexes","All ages","Incidence, Survival follow recent trends","2%",2716.2,1111.1,797.2,807.9
"450","Uterus","2013","Both sexes","All ages","Incidence, Survival follow recent trends","5%",2880.2,1212,797.2,871
"451","Other","2013","Both sexes","All ages","Incidence, Survival at constant rate","0%",21538.7,4161.3,11834.9,5542.5
"452","Other","2013","Both sexes","All ages","Incidence follows recent trend, Survival constant","0%",22818.8,4486.2,12129.7,6203
"453","Other","2013","Both sexes","All ages","Survival follows recent trend, Incidence constant","0%",22644.3,4161.3,12732.6,5750.5
"454","Other","2013","Both sexes","All ages","Incidence, Survival follow recent trends","0%",23896.4,4486.2,13007.7,6402.5
"455","Other","2013","Both sexes","All ages","Incidence, Survival follow recent trends","2%",24442.6,4760.8,13007.7,6674.1
"456","Other","2013","Both sexes","All ages","Incidence, Survival follow recent trends","5%",25302.9,5193.3,13007.7,7101.9
"457","AllSites","2014","Both sexes","All ages","Incidence, Survival at constant rate","0%",137401.1,43466.6,52408.1,41526.4
"458","AllSites","2014","Both sexes","All ages","Incidence follows recent trend, Survival constant","0%",132634.1,40028.8,51815.4,40789.9
"459","AllSites","2014","Both sexes","All ages","Survival follows recent trend, Incidence constant","0%",140027.6,43466.6,54050.2,42510.8
"460","AllSites","2014","Both sexes","All ages","Incidence, Survival follow recent trends","0%",135235.9,40028.8,53404.4,41802.7
"461","AllSites","2014","Both sexes","All ages","Incidence, Survival follow recent trends","2%",141425.8,43328.4,53404.4,44693
"462","AllSites","2014","Both sexes","All ages","Incidence, Survival follow recent trends","5%",151418.4,48655.2,53404.4,49358.8
"463","Bladder","2014","Both sexes","All ages","Incidence, Survival at constant rate","0%",4280.3,1059.5,2033.4,1187.4
"464","Bladder","2014","Both sexes","All ages","Incidence follows recent trend, Survival constant","0%",4075.2,957,1971.4,1146.8
"465","Bladder","2014","Both sexes","All ages","Survival follows recent trend, Incidence constant","0%",4305,1059.5,2049,1196.6
"466","Bladder","2014","Both sexes","All ages","Incidence, Survival follow recent trends","0%",4098.5,957,1986.1,1155.4
"467","Bladder","2014","Both sexes","All ages","Incidence, Survival follow recent trends","2%",4248.7,1035.9,1986.1,1226.7
"468","Bladder","2014","Both sexes","All ages","Incidence, Survival follow recent trends","5%",4491.3,1163.2,1986.1,1341.9
"469","Brain","2014","Both sexes","All ages","Incidence, Survival at constant rate","0%",4895,1337.8,1181.3,2375.9
"470","Brain","2014","Both sexes","All ages","Incidence follows recent trend, Survival constant","0%",4820,1291.2,1175.4,2353.3
"471","Brain","2014","Both sexes","All ages","Survival follows recent trend, Incidence constant","0%",4990.2,1337.8,1206.6,2445.7
"472","Brain","2014","Both sexes","All ages","Incidence, Survival follow recent trends","0%",4912.9,1291.2,1200.2,2421.6
"473","Brain","2014","Both sexes","All ages","Incidence, Survival follow recent trends","2%",5209.9,1397.7,1200.2,2612.1
"474","Brain","2014","Both sexes","All ages","Incidence, Survival follow recent trends","5%",5689.3,1569.5,1200.2,2919.7
"475","Breast","2014","Females","All ages","Incidence, Survival at constant rate","0%",18116.6,6379.7,7608.6,4128.3
"476","Breast","2014","Females","All ages","Incidence follows recent trend, Survival constant","0%",17181.8,5815.5,7380.8,3985.5
"477","Breast","2014","Females","All ages","Survival follows recent trend, Incidence constant","0%",18171.6,6379.7,7644,4147.9
"478","Breast","2014","Females","All ages","Incidence, Survival follow recent trends","0%",17233.2,5815.5,7413.9,4003.9
"479","Breast","2014","Females","All ages","Incidence, Survival follow recent trends","2%",18034,6294.8,7413.9,4325.3
"480","Breast","2014","Females","All ages","Incidence, Survival follow recent trends","5%",19326.9,7068.7,7413.9,4844.3
"481","Cervix","2014","Females","All ages","Incidence, Survival at constant rate","0%",1544.8,495.7,364.1,685
"482","Cervix","2014","Females","All ages","Incidence follows recent trend, Survival constant","0%",1322,346,343.7,632.2
"483","Cervix","2014","Females","All ages","Survival follows recent trend, Incidence constant","0%",1546,495.7,364.4,685.9
"484","Cervix","2014","Females","All ages","Incidence, Survival follow recent trends","0%",1322.9,346,343.9,632.9
"485","Cervix","2014","Females","All ages","Incidence, Survival follow recent trends","2%",1399.1,374.5,343.9,680.6
